source_artifact,legacy_field_path,legacy_required,expected_datatype,cardinality,conditional_rule,current_rdf_predicate,current_rdf_value_kind,current_adapter,notes
#AgentDetails&1.0.0,contact_number,no,string,0..1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Not emitted by current adapter.
#AgentDetails&1.0.0,country,yes,string,1,always,schema:nationality,literal string,sAgentDetails_1x0x0_toFluree .R,
#AgentDetails&1.0.0,date_of_birth,yes,string,1,always,schema:birthDate,literal string,sAgentDetails_1x0x0_toFluree .R,
#AgentDetails&1.0.0,email_address,yes,string,1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Not emitted by current adapter.
#AgentDetails&1.0.0,headers,yes,ref:#DocumentHeaders&1.0.0,1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Adapter ignores headers.
#AgentDetails&1.0.0,id_acc_h,yes,string,1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Hedera account identifier is not emitted by current adapter.
#AgentDetails&1.0.0,initials,yes,string,1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Initials are not emitted by current adapter.
#AgentDetails&1.0.0,name_first,no,string,0..1,always,schema:givenName,literal string,sAgentDetails_1x0x0_toFluree .R,
#AgentDetails&1.0.0,name_last,yes,string,1,always,schema:familyName,literal string,sAgentDetails_1x0x0_toFluree .R,
#AgentDetails&1.0.0,supporting_evidence_contact_no,no,string,0..1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Not emitted by current adapter.
#AgentDetails&1.0.0,supporting_evidence_email,no,string,0..1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Not emitted by current adapter.
#AgentDetails&1.0.0,supporting_evidence_pp1,no,string,0..1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Not emitted by current adapter.
#AgentDetails&1.0.0,supporting_evidence_pp2,no,string,0..1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Not emitted by current adapter.
#DR-LicenseApplication&1.0.0,commentary_r,yes,string,1,always,UNMAPPED,,,No current R adapter output identified in Phase 0 inventory.
